name,date,strengths,weaknesses,self_development,geo_flex,financial_support_self,result,course_interest,tech_self_score_CSharp,tech_self_score_Java,tech_self_score_R,tech_self_score_JavaScript,tech_self_score_Python,tech_self_score_C++,tech_self_score_Ruby,tech_self_score_SPSS,tech_self_score_PHP
Stillmann Castano,2019-08-22,Charisma,"Distracted, Impulsive, Introverted",True,True,True,Pass,Business,6.0,5.0,2.0,2.0,,,,,
Hilary Willmore,2019-08-01,"Patient, Curious, Problem Solving","Overbearing, Chatty, Indifferent",False,True,True,Fail,Data,4.0,2.0,,,1.0,4.0,,,
Efrem Whipple,2019-08-22,"Courteous, Independent, Patient","Introverted, Impulsive, Anxious",True,True,True,Pass,Business,,,,,,4.0,4.0,,
Sydel Fenne,2019-08-28,Passionate,"Perfectionist, Sensitive",True,True,True,Pass,Data,,3.0,,,,,,4.0,
Michel Lebarree,2019-08-07,Versatile,"Controlling, Perfectionist, Chatty",True,True,True,Pass,Engineering,,4.0,2.0,,3.0,3.0,1.0,,2.0
Cooper Ingraham,2019-08-14,"Versatile, Rational",Immature,True,True,False,Fail,Business,3.0,1.0,,,,,,,4.0
Bird Le Count,2019-08-22,Collaboration,"Impatient, Conventional, Undisciplined",True,True,True,Fail,Business,,,,,,2.0,,3.0,3.0
Orly Lorens,2019-08-01,"Ambitious, Independent, Passionate","Conventional, Passive",False,True,True,Fail,Business,,,5.0,1.0,,,2.0,1.0,
Hannah Messum,2019-08-29,"Reliable, Passionate",Intolerant,True,True,True,Fail,Data,,,,2.0,8.0,,2.0,,
Gavin Lambregts,2019-08-21,"Altruism, Empathy, Problem Solving","Chaotic, Selfish",True,True,True,Pass,Data,2.0,,,1.0,3.0,5.0,,,
Letta Halston,2019-08-08,"Listening, Passionate","Perfectionist, Immature, Passive",True,True,True,Fail,Business,,,,4.0,,,,,3.0
Rivalee Eagleton,2019-08-08,"Organisation, Passionate, Versatile","Conventional, Sensitive, Introverted",True,True,False,Fail,Engineering,,,,2.0,3.0,,4.0,,
Neda Marmyon,2019-08-15,"Curious, Ambitious, Consistent",Sensitive,True,True,True,Pass,Data,,,7.0,,4.0,1.0,5.0,,
Kermy Caves,2019-08-29,"Versatile, Ambitious","Slow, Overbearing, Conventional",True,False,True,Fail,Business,,,,,,,,,2.0
Edithe Dimitrov,2019-08-07,"Passionate, Versatile",Undisciplined,True,True,True,Pass,Engineering,3.0,3.0,,,4.0,,,,
Aubert Cicerone,2019-08-06,"Efficient, Independent","Indifferent, Sensitive, Introverted",True,True,False,Fail,Data,3.0,,,3.0,4.0,,3.0,,
Erastus Mcelrath,2019-08-14,"Problem Solving, Altruism",Indifferent,True,False,False,Fail,Data,3.0,,,,3.0,,,2.0,1.0
Edgar Annesley,2019-08-28,Independent,"Controlling, Impulsive",False,True,True,Fail,Data,7.0,,,2.0,2.0,,4.0,,
Haslett Steet,2019-08-07,"Problem Solving, Efficient, Patient",Undisciplined,True,True,True,Pass,Engineering,,,,,,,,,
Kirbee Clementet,2019-08-08,Determined,Anxious,True,True,False,Fail,Engineering,,,,,,1.0,,,
Marcellina Ping,2019-08-21,"Composure, Independent","Impulsive, Competitive, Controlling",True,True,True,Pass,Business,4.0,5.0,,,,,,,
Violet Luscombe,2019-08-14,"Competitive, Empathy",Impulsive,True,True,True,Pass,Data,1.0,,,,2.0,3.0,2.0,,
Phillis Wabey,2019-08-06,Problem Solving,"Overbearing, Impatient",True,True,True,Pass,Data,3.0,,2.0,,1.0,,,2.0,
Maurice Yakhin,2019-08-29,"Composure, Problem Solving, Efficient","Impatient, Critical",True,True,True,Pass,Engineering,,,4.0,3.0,,2.0,6.0,4.0,
Wesley Tolerton,2019-08-13,"Determined, Problem Solving, Patient","Indecisive, Undisciplined",False,True,True,Fail,Business,,,,,,,,,
Brittaney Roughey,2019-08-15,"Perfectionism, Charisma","Overbearing, Conventional, Immature",True,True,True,Pass,Engineering,,,4.0,,,,,2.0,
Saree Daens,2019-08-15,Reliable,Passive,True,True,True,Pass,Engineering,1.0,,2.0,,,,,,
Mona Willimott,2019-08-08,Passionate,"Passive, Chatty",True,True,True,Pass,Engineering,1.0,3.0,1.0,2.0,,,2.0,,2.0
Alvie Bleackly,2019-08-01,Perfectionism,"Impatient, Selfish, Indifferent",True,True,True,Pass,Engineering,,,,,,,,,
Drud Tellenbrok,2019-08-06,"Empathy, Charisma","Slow, Anxious, Chatty",True,True,True,Pass,Data,3.0,,,,1.0,,3.0,,
Deck Itzchaki,2019-08-01,Reliable,Indifferent,True,True,True,Pass,Business,,,,,,,,,1.0
Charlie Danelut,2019-08-14,"Efficient, Empathy, Independent","Indecisive, Chaotic",True,False,True,Fail,Data,,,2.0,,3.0,,,1.0,
Wilt Penritt,2019-08-01,"Collaboration, Curious","Slow, Sensitive",False,True,True,Fail,Data,,,,5.0,,,,,
Stevie Houliston,2019-08-15,Reliable,Overbearing,True,True,True,Pass,Engineering,2.0,4.0,1.0,,,,,6.0,
Fairlie Cogzell,2019-08-14,"Independent, Ambitious","Perfectionist, Introverted, Indecisive",True,True,True,Pass,Business,,5.0,2.0,1.0,3.0,,,4.0,1.0
Beckie Aveling,2019-08-22,Curious,Slow,True,True,True,Fail,Business,4.0,6.0,,3.0,,,,1.0,
Axe Mckall,2019-08-15,"Rational, Innovative, Collaboration","Impatient, Distracted",True,True,True,Pass,Business,,3.0,,,2.0,,4.0,,2.0
Marcela Pass,2019-08-27,"Curious, Passionate",Selfish,True,False,True,Fail,Business,,,,,3.0,1.0,,,
Sauncho Aveson,2019-08-13,"Rational, Innovative, Passionate","Immature, Competitive, Indifferent",True,True,True,Pass,Data,,2.0,,,,,1.0,,1.0
