,Unnamed: 0,Date,Academy,Name,Psychometrics,Presentation
0,0,2019-08-01,Birmingham Academy,Hilary Willmore,51,19
1,1,2019-08-01,Birmingham Academy,Orly Lorens,51,19
2,2,2019-08-01,Birmingham Academy,Alvie Bleackly,55,16
3,3,2019-08-01,Birmingham Academy,Deck Itzchaki,59,21
4,4,2019-08-01,Birmingham Academy,Wilt Penritt,66,25
5,5,2019-08-01,Birmingham Academy,Gianna Clevely,61,16
6,6,2019-08-01,Birmingham Academy,Yvor Phalip,59,18
7,7,2019-08-01,Birmingham Academy,Marielle Knivett,52,18
8,8,2019-08-01,Birmingham Academy,Florri Loughton,63,28
9,9,2019-08-01,Birmingham Academy,Walden Gidden,49,25
10,10,2019-08-01,Birmingham Academy,Ingunna Adin,60,20
11,11,2019-08-01,Birmingham Academy,Janaya Mawford,52,18
12,12,2019-08-01,Birmingham Academy,Cornall Offer,56,26
13,13,2019-08-01,Birmingham Academy,Brnaby Bownes,59,26
14,14,2019-08-01,Birmingham Academy,Sherline Cudihy,52,16
15,15,2019-08-01,Birmingham Academy,Anallise Scathard,62,13
16,16,2019-08-01,Birmingham Academy,Benson Labuschagne,64,13
17,17,2019-08-01,Birmingham Academy,Norene Fierro,58,22
18,18,2019-08-01,Birmingham Academy,Woody Newling,49,21
19,19,2019-08-01,Birmingham Academy,Anna Bownes,45,20
20,20,2019-08-01,Birmingham Academy,Lorine Bignall,59,17
21,21,2019-08-01,Birmingham Academy,Deirdre Van Den Velde,55,19
22,22,2019-08-01,Birmingham Academy,Ruthe Adolthine,63,17
23,23,2019-08-01,Birmingham Academy,Star Jurges,54,22
24,24,2019-08-01,Birmingham Academy,Stan Forkan,56,20
25,25,2019-08-01,Birmingham Academy,Jodie Kaygill,53,17
26,26,2019-08-01,Birmingham Academy,Tim Hush,40,22
27,27,2019-08-01,Birmingham Academy,Delinda Conybear,54,18
28,28,2019-08-01,Birmingham Academy,Reagen Pudge,60,14
29,29,2019-08-01,Birmingham Academy,Matteo Yeowell,57,18
30,30,2019-08-01,Birmingham Academy,Maye Targetter,45,19
31,31,2019-08-01,Birmingham Academy,Carlos Gerckens,56,19
32,32,2019-08-01,Birmingham Academy,Nevil Vidyapin,44,22
33,33,2019-08-01,Birmingham Academy,Blake Nunson,64,18
34,34,2019-08-01,Birmingham Academy,Ross Beevors,48,25
35,35,2019-08-01,Birmingham Academy,Sid Libbie,59,28
36,36,2019-05-01,London Academy,Loree Hinkens,54,16
37,37,2019-05-01,London Academy,Micheil Rotlauf,66,15
38,38,2019-05-01,London Academy,Berkeley Bothe,43,25
39,39,2019-05-01,London Academy,Klarika Mcconigal,48,22
40,40,2019-05-01,London Academy,Retha Dunnico,60,20
41,41,2019-05-01,London Academy,Nance Tothe,51,15
42,42,2019-05-01,London Academy,Donica Andreas,59,18
43,43,2019-05-01,London Academy,Stavros Petticrow,52,12
44,44,2019-05-01,London Academy,Janet Mulqueeny,42,19
45,45,2019-05-01,London Academy,Cassius Hollibone,69,18
46,46,2019-05-01,London Academy,Mellicent Desaur,67,18
47,47,2019-05-01,London Academy,Kamila Silversmidt,53,16
48,48,2019-05-01,London Academy,Bernadine Sinkin,60,17
49,49,2019-05-01,London Academy,William Dryden,63,23
50,50,2019-05-01,London Academy,Matthias Burns,53,22
51,51,2019-05-01,London Academy,Maxwell Wyer,50,21
52,52,2019-05-01,London Academy,Miguela Quantrill,60,21
53,53,2019-05-01,London Academy,Juliet Scottrell,55,16
54,54,2019-05-01,London Academy,Gannie Barehead,46,19
55,55,2019-05-01,London Academy,Siouxie Tunstall,57,23
