,name,date,strengths,weaknesses,self_development,geo_flex,financial_support_self,result,course_interest,tech_self_score_CSharp,tech_self_score_Java,tech_self_score_R,tech_self_score_JavaScript,tech_self_score_Python,tech_self_score_C++,tech_self_score_Ruby,tech_self_score_SPSS,tech_self_score_PHP
0,Stillmann Castano,2019-08-22,Charisma,"Distracted, Impulsive, Introverted",True,True,True,Pass,Business,6.0,5.0,2.0,2.0,,,,,
1,Hilary Willmore,2019-08-01,"Patient, Curious, Problem Solving","Overbearing, Chatty, Indifferent",False,True,True,Fail,Data,4.0,2.0,,,1.0,4.0,,,
2,Efrem Whipple,2019-08-22,"Courteous, Independent, Patient","Introverted, Impulsive, Anxious",True,True,True,Pass,Business,,,,,,4.0,4.0,,
3,Sydel Fenne,2019-08-28,Passionate,"Perfectionist, Sensitive",True,True,True,Pass,Data,,3.0,,,,,,4.0,
4,Michel Lebarree,2019-08-07,Versatile,"Controlling, Perfectionist, Chatty",True,True,True,Pass,Engineering,,4.0,2.0,,3.0,3.0,1.0,,2.0
5,Cooper Ingraham,2019-08-14,"Versatile, Rational",Immature,True,True,False,Fail,Business,3.0,1.0,,,,,,,4.0
6,Bird Le Count,2019-08-22,Collaboration,"Impatient, Conventional, Undisciplined",True,True,True,Fail,Business,,,,,,2.0,,3.0,3.0
7,Orly Lorens,2019-08-01,"Ambitious, Independent, Passionate","Conventional, Passive",False,True,True,Fail,Business,,,5.0,1.0,,,2.0,1.0,
8,Hannah Messum,2019-08-29,"Reliable, Passionate",Intolerant,True,True,True,Fail,Data,,,,2.0,8.0,,2.0,,
9,Gavin Lambregts,2019-08-21,"Altruism, Empathy, Problem Solving","Chaotic, Selfish",True,True,True,Pass,Data,2.0,,,1.0,3.0,5.0,,,
10,Letta Halston,2019-08-08,"Listening, Passionate","Perfectionist, Immature, Passive",True,True,True,Fail,Business,,,,4.0,,,,,3.0
11,Rivalee Eagleton,2019-08-08,"Organisation, Passionate, Versatile","Conventional, Sensitive, Introverted",True,True,False,Fail,Engineering,,,,2.0,3.0,,4.0,,
12,Neda Marmyon,2019-08-15,"Curious, Ambitious, Consistent",Sensitive,True,True,True,Pass,Data,,,7.0,,4.0,1.0,5.0,,
13,Kermy Caves,2019-08-29,"Versatile, Ambitious","Slow, Overbearing, Conventional",True,False,True,Fail,Business,,,,,,,,,2.0
14,Edithe Dimitrov,2019-08-07,"Passionate, Versatile",Undisciplined,True,True,True,Pass,Engineering,3.0,3.0,,,4.0,,,,
15,Aubert Cicerone,2019-08-06,"Efficient, Independent","Indifferent, Sensitive, Introverted",True,True,False,Fail,Data,3.0,,,3.0,4.0,,3.0,,
16,Erastus Mcelrath,2019-08-14,"Problem Solving, Altruism",Indifferent,True,False,False,Fail,Data,3.0,,,,3.0,,,2.0,1.0
17,Edgar Annesley,2019-08-28,Independent,"Controlling, Impulsive",False,True,True,Fail,Data,7.0,,,2.0,2.0,,4.0,,
18,Haslett Steet,2019-08-07,"Problem Solving, Efficient, Patient",Undisciplined,True,True,True,Pass,Engineering,,,,,,,,,
19,Kirbee Clementet,2019-08-08,Determined,Anxious,True,True,False,Fail,Engineering,,,,,,1.0,,,
20,Marcellina Ping,2019-08-21,"Composure, Independent","Impulsive, Competitive, Controlling",True,True,True,Pass,Business,4.0,5.0,,,,,,,
